sentence,paraphrased_sentence,option1,option2,answer,gpt_category,gpt_category_names,in_original_experiment
Mike doesn't like the table in his living room as much as the couch. The _ resonates with the other decorations.,Mike doesn't like the table in his living room as much as the couch. The item that resonates with the other decorations is the _.,table,couch,2,2,['social'],1
"The plan devised by Christine to get Kayla to like them failed, as _ did not really try it.","The plan devised by Christine to get Kayla to like them failed, as it was not really tried by _.",Christine,Kayla,1,2,['social'],1
"The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and the patient refused the _ because he felt it was dangerous.","The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and because he felt it was dangerous, the patient refused the _.",diet,surgery,2,2,['social'],1
Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the athlete.,"Throughout the practice Rachel pushed the limits of Megan to get ready for the game, motivated by the fact that the athlete was _.",Rachel,Megan,2,2,['social'],1
"Sarah was quickly promoted to manager over Kayla, because _ excelled at angering other people.","Sarah was quickly promoted to manager over Kayla, because the one who excelled at angering other people was _.",Sarah,Kayla,2,2,['social'],1
"Betty drank chocolate shakes while Elena drank carrot juice, and _ had a very healthy diet.","Betty drank chocolate shakes while Elena drank carrot juice, and the one with a very healthy diet was _.",Betty,Elena,2,1,['physical'],1
"Betty drank chocolate shakes while Elena drank carrot juice, and _ had a very unhealthy diet.","Betty drank chocolate shakes while Elena drank carrot juice, and the one with a very unhealthy diet was _.",Betty,Elena,1,1,['physical'],1
The president had their speech at the auditorium rather than the park because the _ was smaller.,"The president had their speech at the auditorium rather than the park, because the smaller option was the _.",auditorium,park,2,"3, 5","['numerical', 'spatial']",1
"When Steven found that their T-shirt had shrunk in the laundry, Robert's first reaction was to laugh, and _ became apologetic.","When Steven found that their T-shirt had shrunk in the laundry, Robert's first reaction was to laugh, and apologies were offered by _.",Steven,Robert,2,2,['social'],1
She counted her calories for her diet and found she needed more so she ate a brownie instead of an apple since the _ has fewer.,She counted her calories for her diet and found she needed more so she ate a brownie instead of an apple since there were fewer in the _.,apple,brownie,1,3,['numerical'],1
Felicia liked wearing glasses more than braces because she could take the _ off every day.,Felicia liked wearing glasses more than braces because every day she could take off the _.,glasses,braces,1,1,['physical'],1
Randy's hair is dry when compared to Ian's due to _ using a strong conditioner.,Randy's hair is dry compared to Ian's hair due to the strong conditioner used by _,Randy,Ian,2,1,['physical'],1
"Adam was a crook and not a law-abiding citizen like Joseph, so it was surprising that _ was the one with a restraining order against him.","Adam was a crook and not a law-abiding citizen like Joseph, so it was surprising that the one with a restraining order against him was _.",Adam,Joseph,2,2,['social'],1
"Adam was law-abiding and not a crook like Joseph, so it was surprising that _ was the one with a restraining order against him.","Adam was law-abiding and not a crook like Joseph, so it was surprising that the one with a restraining order against him was _.",Adam,Joseph,1,2,['social'],1
The wages at the factory were lower than the wages at the plant since it was more safe to work at the _ .,The wages at the factory were lower than the wages at the plant since it was more safe to work at the _ .,plant,factory,2,3,['numerical'],1
"Ann's babies were crying, and she could give them a bottle or a rattle.  She tried the _ first in case they were bored.","Ann's babies were crying, and she could give them a bottle or a rattle. In case they were bored, she first tried the _.",bottle,rattle,2,1,['physical'],1
"The house of Aaron took some damage from the storm but not Michael's house, because _ lived farther away.","The house of Aaron took some damage from the storm but not Michael's house, because the person who lived farther away was _.",Aaron,Michael,2,5,['spatial'],1
"Jennifer dragged Felicia along to a self help workshop about how to succeed, because _ wanted some company.","Jennifer dragged Felicia along to a self help workshop about how to succeed, because the one wanting some company was _.",Jennifer,Felicia,1,2,['social'],1
Mary can read the clock in the room at night without the light even though the _ is dark.,"Mary can read the clock in the room at night without the light, despite the dark _.",clock,room,2,1,['physical'],1
"Logan reads a lot, while Donald almost never picks up a book because _ is a plumber.","Logan reads a lot, while Donald almost never picks up a book because the one who is a plumber is _.",Logan,Donald,2,2,['social'],1
"Logan reads a lot, while Donald almost never picks up a book because _ is a student.","Logan reads a lot, while Donald almost never picks up a book because the one who is a student is _.",Logan,Donald,1,2,['social'],1
"The wind during the last hurricane tried to knock over their new house, but the _ was too strong.","The wind during the last hurricane tried to knock over their new house, but the one that proved too strong was the _.",house,wind,1,1,['physical'],1
"During the rescue mission, Maria pulled Rebecca away from the minefield since _ was a civilian.","During the rescue mission, Maria pulled Rebecca away from the minefield because the one who was a civilian was _.",Maria,Rebecca,2,2,['social'],1
The jewelry sold for less than the baseball card did since the _ was very common.,The jewelry sold for less than the baseball card did because the more common one was the _.,card,jewelry,2,1,['physical'],1
"Laura brought extensions to Monica at the salon, so that _ could get their dreads treated professionally.","At the salon, Laura brought extensions to Monica so that their dreads could be treated professionally by _.",Laura,Monica,1,2,['social'],1
The installation process was simpler for the cable over the internet because the man had never installed the _ previously.,"The man found the installation process simpler for the cable over the internet, having never previously installed the _.",cable,internet,2,4,['temporal'],1
The installation process was simpler for the cable over the internet because the man had already installed the _ previously.,"The man found the installation process simpler for the cable over the internet, having already previously installed the _.",cable,internet,1,4,['temporal'],1
Jessica wanted Mary to help them decorate their new house because _ asked them not to do it alone.,Jessica wanted Mary to help them decorate their new house because it was the person who asked them not to do it alone that was _.,Jessica,Mary,2,2,['social'],1
William went on the ride more than Matthew did because _ thought it was scary.,"William went on the ride more than Matthew did, because it was considered scary by _.",William,Matthew,2,3,['numerical'],1
"Megan took Monica to a wood shack in the mountains, because _ was a kidnapper trying to hide.",Megan took Monica to a wood shack in the mountains because one of them was a kidnapper trying to hide—and that kidnapper was _.,Megan,Monica,1,2,['social'],1
Kayla prepared a foot soak bath for Cynthia for their birthday so _ is pouring in water.,"For their birthday, Kayla prepared a foot soak bath for Cynthia, so water is poured in by _.",Kayla,Cynthia,1,2,['social'],1
"The man looked at the sundial since a watch or clocktower was not at his disposal, having lost the _ .","The man looked at the sundial since a watch or clocktower was not at his disposal, having lost the _ .",watch,clocktower,1,1,['physical'],1
Hunter chose to eat a banana for breakfast every morning but Michael did not because _ is unconcerned about their health.,Hunter chose to eat a banana for breakfast every morning but Michael did not because of how unconcerned about their health _ is.,Hunter,Michael,2,2,['social'],1
Patricia decided to buy Felicia dinner because they had been through a lot and _ just lost some money.,"They had been through a lot, so Patricia decided to buy Felicia dinner, as some money was just lost by _.",Patricia,Felicia,2,2,['social'],1
"Sarah thought that Elena was overpacking for Hawaii, because _ had a very full suitcase.",Sarah thought that Elena was overpacking for Hawaii because the very full suitcase belonged to _.,Sarah,Elena,2,1,['physical'],1
William liked to be outside more than Kyle so _ spent time arguing against getting a pool.,"William liked to be outside more than Kyle, so the one who spent time arguing against getting a pool was _.",William,Kyle,2,2,['social'],1
William liked to be outside more than Kyle so _ spent time arguing for getting a pool.,William liked to be outside more than Kyle so the one who spent time arguing for getting a pool was _.,William,Kyle,1,2,['social'],1
My gun was inspected with a cloth to make sure it worked fine. The _ was hard.,"While inspecting my gun with a cloth to make sure it worked fine, I noticed how hard the _ was.",cloth,gun,2,1,['physical'],1
"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was used.","At the estate sale, John saw the hammer was more affordable than the screwdriver because the item that was used was the _.",hammer,screwdriver,1,1,['physical'],1
"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was brand new.","At the estate sale, John saw the hammer was more affordable than the screwdriver because the item that was brand new was the _.",hammer,screwdriver,2,3,['numerical'],1
The sliding glass door was broken when Eric pushed Ian through it because _ is a pushover.,The sliding glass door was broken when Eric pushed Ian through it because the one who is a pushover is _.,Eric,Ian,2,2,['social'],1
"The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the _ was less fragile.","The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the less fragile item was the _.",Urn,Vase,2,1,['physical'],1
"The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the _ was more fragile.","The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the more fragile item was the _.",Urn,Vase,1,1,['physical'],1
Tina made a schedule to keep track of her work and school obligations.  She preferred to focus on the _ because she wanted to learn.,"Tina made a schedule to keep track of her work and school obligations. Because she wanted to learn, she preferred to focus on the _.",school,work,1,2,['social'],1
"Jessica wants to protect herself from infectious diseases so she goes to doctor Samantha, because _ is careful.","Jessica wants to protect herself from infectious diseases, so she goes to doctor Samantha, because the person that is careful is _.",Jessica,Samantha,1,2,['social'],1
The history of the village is more intriguing than the history of the city because the _ is very new.,The history of the village is more intriguing than the history of the city because of how new the _ is.,village,city,2,4,['temporal'],1
Rachel told Patricia to pick up some baby powder at the store because _ had sweaty feet.,Rachel told Patricia to pick up some baby powder at the store because the person who had sweaty feet was _.,Rachel,Patricia,1,2,['social'],1
Neil looked all over the neighborhood for their missing dog until Samuel called and _ got their dog back.,"Neil looked all over the neighborhood for their missing dog until Samuel called, and the dog was returned to _.",Neil,Samuel,1,2,['social'],1
"At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's because _ is a tree cutter.","At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's because the tree cutter is _.",Mary,Rebecca,2,1,['physical'],1
"The sand and water in the fish tank were very dirty, so the _ needed to be filtered.","The sand and water in the fish tank were very dirty, so what needed to be filtered was the _.",water,sand,1,1,['physical'],1
"The sand and water in the fish tank were very dirty, so the _ needed to be scrubbed.","The sand and water in the fish tank were very dirty, so what needed to be scrubbed was the _.",water,sand,2,1,['physical'],1
"Pete preferred to use the sheet to the blanket, because the _ was much hotter.","Pete preferred to use the sheet to the blanket, because the one that was much hotter was the _.",sheet,blanket,2,1,['physical'],0
"She preferred a globe of the world made of PVC instead of plastic, because the _ made it look expensive.","She preferred a globe of the world made of PVC instead of plastic, because what made it look expensive was the _.",plastic,PVC,2,1,['physical'],1
"People think _ is embarassed, because Samantha made snide comments about the shirt Rebecca was wearing.","Because Samantha made snide comments about the shirt Rebecca was wearing, people suspect the embarrassment lies with _.",Samantha,Rebecca,2,2,['social'],1
Adam's mindset was a lot stronger than William's because _ was able to control it.,Adam's mindset was a lot stronger than William's because the one able to control it was _.,Adam,William,1,3,['numerical'],1
The puncture healed quicker than the cut because the _ was a more superficial wound.,"The puncture healed quicker than the cut, because the more superficial wound was the _.",cut,puncture,2,1,['physical'],1
Using a needle to sew together both the leather and silk was difficult.  The _ was hard get through.,Using a needle to sew together both the leather and silk was difficult because. It was hard to get through the _.,leather,silk,1,1,['physical'],1
The maid took away a cozy blanket from Lawrence but not Nick because _ was very hot.,"The maid took away a cozy blanket from Lawrence but not Nick, because the temperature was too high for _.",Lawrence,Nick,1,1,['physical'],1
"The photo came out of the Polaroid camera and fell onto the tray, so now the _ is lighter.","The photo came out of the Polaroid camera and fell onto the tray, which decreased the weight of the _.",camera,tray,1,3,['numerical'],1
Brett asked Nelson where they were because _ had no idea after he fell asleep.,"Brett asked Nelson where they were, because, after he fell asleep, it was not known to _.",Brett,Nelson,1,2,['social'],1
Leslie coughed more when they were eating their food than Adam although there was more seasoning in the food of _ .,Leslie coughed more when they were eating their food than Adam although there was more seasoning in the food of _ .,Leslie,Adam,2,3,['numerical'],1
"Craig gifted Eric a new picnic table, because _ borrowed some money a while ago.","Craig decided to gift Eric a new picnic table,  due to some money that was borrowed a while ago by _.",Craig,Eric,1,2,['social'],1
"Craig gifted Eric a new picnic table, because _ lent him some money a while ago.","Craig decided to gift Eric a new picnic table,  due to some money that was leant a while ago by _.",Craig,Eric,2,2,['social'],1
Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a fat stomach.,"Whilst on the beach, Cynthia loved to wear a bikini but Laura did not, because of the fat stomach of _.",Cynthia,Laura,2,1,['physical'],1
The shoe james bought got pinched by a nail while jogging because the _ is soft.,The shoe james bought got pinched by a nail while jogging because of how soft the _ is.,shoe,nail,1,1,['physical'],1
The fishing line snagged and broke on a rock because the _ was too heavy.,The fishing line snagged and broke on a rock because of the heavy weight of the _.,fishing line,rock,2,1,['physical'],1
Johnny likes fruits more than vegetables in his new keto diet because the _ are saccharine.,Johnny likes fruits more than vegetables in his new keto diet because the ones that are saccharine are the _.,fruits,vegetables,1,"1, 3","['numerical', 'physical']",0
"Victoria was still grieving the death of a friend more than Elena, because _ had a more distant relationship with the friend.","Victoria was still grieving the death of a friend more than Elena, because the friend had a more distant relationship with _.",Victoria,Elena,2,2,['social'],1
"Cynthia had a much harder life than Amy, so when _ said life was good, it was an unusual sentiment.","Cynthia had a much harder life than Amy, so it was an unusual sentiment to hear that life was good from _.",Cynthia,Amy,1,3,['numerical'],1
The chef fried less mushrooms than tomatoes because the _ were ordered frequently at the restaurant.,The chef fried less mushrooms than tomatoes because the ones that were ordered frequently at the restaurant were the _.,mushrooms,tomatoes,2,3,['numerical'],1
"Lawrence dealt the cards to Joseph at the blackjack table, because _ was a professional player.","At the  blackjack table, Lawrence dealt the cards to Joseph, because the one that was a professional player was _.",Lawrence,Joseph,2,2,['social'],1
"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland because it will be older.","You can grow cilantro in a garden or buy it at the store, but the variety that will taste bland because it will be older is from the _.",garden,store,2,4,['temporal'],1
"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste better because it will be fresh.","You can grow cilantro in a garden or buy it at the store, but the variety that will taste better because it will be fresh is from the _.",garden,store,1,"1, 4","['physical', 'temporal']",1
William did not mind if it took them a while to prepare a meal but Adam did because _ was very meticulous.,"William did not mind if it took them a while to prepare a meal, but Adam did, due to the meticulous approach of _.",William,Adam,1,2,['social'],1
The wall of the house looks nicer than the one in the garage despite that the _ was painted more recently.,"The wall of the house looks nicer than the one in the garage, even though the one painted more recently is the _.",house,garage,2,1,['physical'],1
Kevin ate large amounts of food but not Adam. _ didn't have to get checked to see if they had a tapeworm.,Kevin ate large amounts of food but not Adam. The one who didn't have to get checked to see if they had a tapeworm was _.,Kevin,Adam,2,3,['numerical'],1
The computer of Victoria ran faster than that of Carrie because _ downloaded less files.,The computer of Victoria ran faster than that of Carrie because fewer files were downloaded by _.,Victoria,Carrie,1,3,['numerical'],1
The computer of Victoria ran slower than that of Carrie because _ downloaded less files.,The computer of Victoria ran slower than that of Carrie because fewer files were downloaded by _.,Victoria,Carrie,2,3,['numerical'],1
My face was more familiar than it was at the bar than the gym because I went to the _ several times a week.,My face was more familiar than it was at the bar than the gym because I went several times a week to the _.,bar,gym,1,3,['numerical'],1
Randy showed Samuel the abused horse that he rescued from the shelter.  _ was proud of his friend.,"Randy showed Samuel the abused horse that he rescued from the shelter, and the one who was proud of his friend was _.",Randy,Samuel,2,2,['social'],1
Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was inflexible.,Elena enjoyed yoga classes while Amy preferred other forms of exercise because of how inflexible _ was.,Elena,Amy,2,1,['physical'],1
"The cake that Lawrence tried to bake for Ryan didn't rise, and _ felt forgiving abut it.","The cake that Lawrence tried to bake for Ryan didn't rise, and there was forgiveness about it from _.",Lawrence,Ryan,2,2,['social'],1
Natalie took a longer time to take a bath than Jennifer because _ liked relaxing in the tub.,"Natalie took a longer time to take a bath than Jennifer, because relaxing in the tub was enjoyable for _.",Natalie,Jennifer,1,3,['numerical'],1
It is likely that Donald but not Jason would get the job promotion because _ never stayed late and never did extra work.,It is likely that Donald but not Jason would get the job promotion because staying late and doing extra work were never done by _.,Donald,Jason,2,2,['social'],1
A background check was performed on Natalie by Lindsey due to _ being a nanny.,A background check was performed on Natalie by Lindsey because of the nanny role held by _.,Natalie,Lindsey,1,2,['social'],1
We reached a settlement with the company but were roadblocked by the court.  The _ was just more inflexible in its dealings.,We reached a settlement with the company but were roadblocked by the court. The more inflexible party in its dealings is the _.,company,court,2,2,['social'],1
The man paid cash for the phone but purchased the tablet with credit because the _ was pricy.,The man paid cash for the phone but purchased the tablet with credit because of how pricy the _ was.,Phone,Tablet,2,3,['numerical'],1
The man paid cash for the phone but purchased the tablet with credit because the _ was inexpensive.,The man paid cash for the phone but purchased the tablet with credit because of how inexpensive the _ was.,Phone,Tablet,1,3,['numerical'],1
"There are lots of pills in the home of Neil, but none in the house of Logan, so _ must be healthy.","There are lots of pills in the home of Neil, but none in the house of Logan. The healthy one must be _.",Neil,Logan,2,3,['numerical'],1
Carrie asked Betty where the children were on the playground because _ could not see them.,Carrie asked Betty where the children were on the playground because they were not visible to _.,Carrie,Betty,1,5,['spatial'],1
Samantha had to get car insurance and Jessica did not because _ just got a new car.,Samantha had to get car insurance and Jessica did not because the person who just got a new car was _.,Samantha,Jessica,1,2,['social'],1
The stain was lighter on Jason's shirt than Donald's because _ spilled red wine and not white wine.,"The stain was lighter on Jason's shirt than Donald's, because red wine, not white wine, was spilled by _.",Jason,Donald,2,"1, 3","['numerical', 'physical']",1
The stain was darker on Jason's shirt than Donald's because _ spilled red wine and not white wine.,"The stain was darker on Jason's shirt than Donald's, because red wine, not white wine, was spilled by _.",Jason,Donald,1,1,['physical'],1
Emily decided to eat a lot more yucca than Carrie did. _ was still hungry.,Emily decided to eat a lot more yucca than Carrie did. The person who was still hungry was _.,Emily,Carrie,2,3,['numerical'],1
Emily decided to eat a lot more yucca than Carrie did. _ was no longer hungry.,Emily decided to eat a lot more yucca than Carrie did. The person who was no longer hungry was _.,Emily,Carrie,1,3,['numerical'],1
Ian needed to adjust the mirror and Craig did not because _ was the same height as the owner of the car.,Ian needed to adjust the mirror and Craig did not because the owner of the car was the same height as _.,Ian,Craig,2,3,['numerical'],1
The commodities trader decided to buy wool and sell cotton because the _ was priced low.,The commodities trader decided to buy wool and sell cotton because of the low price of the _.,wool,cotton,1,2,['social'],1
"It is an article of faith that the paper is more important than the exam , even though the _ weighs less heavily on the grade.","It is an article of faith that the paper is more important than the exam, even though what weighs less heavily on the grade is the _.",paper,exam,1,3,['numerical'],1
The tip of James pencil was breaking while writing on the paper sheet. The _ is weak.,The tip of James pencil was breaking while writing on the paper sheet due to the weakness of the _.,pencil,paper,1,1,['physical'],1
The woman moved the urn in front of the vase on the shelf because the _ was attractive.,The woman moved the urn in front of the vase on the shelf because of how attractive the _ was.,urn,vase,1,5,['spatial'],1
Jennifer returned the pan to Sarah because _ had borrowed it from her for the potluck party.,Jennifer returned the pan to Sarah because it was borrowed for the potluck party by _.,Jennifer,Sarah,1,2,['social'],1
Jennifer returned the pan to Sarah because _ had loaned it to her for the potluck party.,Jennifer returned the pan to Sarah because it was loaned for the potluck party by _.,Jennifer,Sarah,2,2,['social'],1
The doctor told Kevin to exercise more often but not Neil. _ had always been lazy and unmotivated.,The doctor told Kevin to exercise more often but not Neil because the lazy and unmotivated one was _.,Kevin,Neil,1,2,['social'],1
The doctor told Kevin to exercise more often but not Neil. _ had always been active and self-motivated.,The doctor told Kevin to exercise more often but not Neil because the active and self-motivated one was _.,Kevin,Neil,2,2,['social'],1
"The blood sample on the slide was more helpful than the one in the vial, because the _ had been kept pristine.","The blood sample on the slide was more helpful than the one in the vial, because of the pristine upkeep of the _.",slide,vial,1,1,['physical'],1
"The air in the shop was better than in the garage, because the _ was highly purified.","The air in the shop was better than in the garage, because of how highly purified the _ was.",garage,shop,2,5,['spatial'],1
"He went to put his pocket watch into his pocket, but realized the chain had broke.  Without it, the _ doesn't function correctly.","He went to put his pocket watch into his pocket, but realized the chain had broke, and without it, correct function is not possible for the _.",pocket watch,chain,1,1,['physical'],1
"Jason was easily scared, so he watched sci-fi movies instead of horror movies because the _ were not scary.","Jason was easily scared, so he watched sci-fi movies instead of horror movies because he was not scared by the _.",sci-fi movies,horror movies,1,2,['social'],1
"The woman kept the bikini but returned the top, because the _ was the right size.",The woman kept the bikini but returned the top because the one that was the right size was the _.,bikini,top,1,1,['physical'],1
"The woman kept the bikini but returned the top, because the _ was the wrong size.",The woman kept the bikini but returned the top because the one that was the wrong size was the _.,bikini,top,2,1,['physical'],1
"Angela beat Mary in the weightlifting competition, but it wasn't fair. _ had been taking steroids.","Angela beat Mary in the weightlifting competition, but it wasn't fair because steroids had been taken by _.",Angela,Mary,1,2,['social'],1
Betty assisted Kayla with the daily analysis task they were assigned and then _ ask for help herself.,Betty assisted Kayla with the daily analysis task they were assigned and the one who then asked for help herself was _.,Betty,Kayla,1,2,['social'],1
Jeri was deciding what to bring to a potluck and picked cookies over a pie because the _ could be shared with fewer people.,Jeri was deciding what to bring to a potluck and picked cookies over a pie because fewer people could share the _.,cookies,pie,2,"2, 3","['numerical', 'social']",1
"Brian asked  Nick to feed their rabbit,because  _ was planning on going on vacation to Disney for a week.",Brian asked Nick to feed their rabbit because the one planning on going on vacation to Disney for a week was _.,Brian,Nick,1,2,['social'],1
James listened carefully to the conversation from the other room but all he could hear was the clock tickling. The _ is pretty loud.,James listened carefully to the conversation from the other room but all he could hear was the clock tickling. It was impossible to ignore the loudness of the _.,clock,conversation,1,1,['physical'],1
The ambulance went to the hospital without Nelson inside but with Ryan because _ drove there in a car.,"The ambulance went to the hospital without Nelson inside but with Ryan, because the person who drove there by car was _.",Nelson,Ryan,1,5,['spatial'],1
Craig was a very selfish individual but Kenneth was very generous. _ had a lot of good friends.,"Craig was a very selfish individual but Kenneth was very generous, so the one who had a lot of good friends was _.",Craig,Kenneth,2,2,['social'],1
It took a less time for Katrina to read the book than Cynthia since _ was a better reader.,It took less time for Katrina to read the book than Cynthia since the better reader was _.,Katrina,Cynthia,1,"3, 4","['numerical', 'temporal']",1
"Patricia was called back for a second interview but not Victoria, as _ had failed the background check.","Patricia was called back for a second interview but not Victoria, as the one who had failed the background check was _.",Patricia,Victoria,2,2,['social'],1
Harold liked to play with dolls more than cars because the _ talked back to him.,Harold liked to play with dolls more than cars because the ones that talked back to him were the _.,dolls,cars,1,1,['physical'],1
There was more dirt on the car than the bike because the _ was kept inside.,There was more dirt on the car than the bike because the one kept inside was the _.,bike,car,1,"3, 5","['numerical', 'spatial']",1
There was more dirt on the car than the bike because the _ was kept outside.,There was more dirt on the car than the bike because the one kept outside was the _.,bike,car,2,3,['numerical'],1
"Michael was a very calm person with yoga but Jeffrey was hyper so, _ decided to take a yoga class.","Michael was a very calm person with yoga but Jeffrey was hyper, so the one who decided to take a yoga class was _.",Michael,Jeffrey,2,1,['physical'],1
Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very bad cook.,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because the cooking is poor when done by _.,Patricia,Carrie,1,2,['social'],1
Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very good cook.,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because the cooking is good when done by _.,Patricia,Carrie,2,2,['social'],1
"Eric went to Leslie's house to play with the new dog, but there was no answer. _ was at the park.","Eric went to Leslie's house to play with the new dog, but there was no answer because at the park was the _.",Eric,Leslie,2,5,['spatial'],1
Jessica spends a lot more money on frivolous things than Rachel because _ has more disposable income.,Jessica spends a lot more money on frivolous things than Rachel because the person with more disposable income is _.,Jessica,Rachel,1,3,['numerical'],1
Ian won a fish from Kenneth at the carnival so _ bagged it up and sent it home.,"Ian won a fish from Kenneth at the carnival, so it was bagged up and sent home by _.",Ian,Kenneth,2,2,['social'],1
The hotline was staffed by Christine when Tanya called in because _ was a volunteer.,"Christine was the one staffing the hotline when Tanya called, and that was because the volunteer was _.",Christine,Tanya,1,2,['social'],1
Steven helped Derrick do research on the paper because _ did not have access to the internet.,Steven helped Derrick do research on the paper because there was no internet access for _.,Steven,Derrick,2,2,['social'],1
Steven helped Derrick do research on the paper because _ had access to the internet.,Steven helped Derrick do research on the paper because there was internet access for _.,Steven,Derrick,1,2,['social'],1
Joel got advice on buying stocks from his cousin Bob while Eric used a broker. _ had a virtually worthless portfolio of companies.,Joel got advice on buying stocks from his cousin Bob while Eric used a broker. The one with a virtually worthless portfolio of companies was _.,Joel,Eric,1,2,['social'],1
"Dennis is changing the sand in a pool filter for Joseph, because _ is a bit lazy.","Dennis is changing the sand in a pool filter for Joseph, because the one who is a bit lazy is _.",Dennis,Joseph,2,2,['social'],1
Hunter gave Justin two weeks to respond after sending him a demand letter. .After that _ will sue him in the court.,Hunter gave Justin two weeks to respond after sending him a demand letter. After that he will be sued in court by _.,Hunter,Justin,1,"2, 4","['social', 'temporal']",1
"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very soft.",It took a minute longer to melt the chocolate in the microwave than the caramel because of the softness of the _.,chocolate,caramel,2,1,['physical'],1
"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very firm.",It took a minute longer to melt the chocolate in the microwave than the caramel because of the firmness of the _.,chocolate,caramel,1,1,['physical'],1
They discussed the company's budget at the business meeting but the _ was boring and the topic of the budget ran long.,They discussed the company's budget at the business meeting but the topic of the budget ran long and everyone was bored with the _.,budget,meeting,2,2,['social'],1
"Randy only ever added a little bit of hot sauce to his food, especially compared to Adam, as _ was much more sensitive to spice.","Randy only ever added a little bit of hot sauce to his food, especially compared to Adam, as the one who was much more sensitive to spice was _.",Randy,Adam,1,3,['numerical'],1
The snow came down so much that Michael had to go plow Kevins driveway because _ needed the help of his neighbors.,The snow came down so much that Michael had to go plow Kevin's driveway because the help of his neighbors was needed by _.,Michael,Kevin,2,2,['social'],1
Police arrested Maria but let Cynthia go as _ had some paint on their hand from the spray paint used for graffiti.,Police arrested Maria but let Cynthia go as they found some paint from the spray paint used for graffiti on the hand of _.,Maria,Cynthia,1,2,['social'],1
Police arrested Maria but let Cynthia go as _ had no paint on their hand from the spray paint used for graffiti.,Police arrested Maria but let Cynthia go as they found no paint from the spray paint used for graffiti on the hand of _.,Maria,Cynthia,2,1,['physical'],1
Jeffrey went to the doctor to treat their ailments but not Robert so _ became sicker.,Jeffrey went to the doctor to treat their ailments but not Robert which led to more severe illness for _.,Jeffrey,Robert,2,2,['social'],1
"Maria asked Cynthia if she could borrow some fuel for her car, as _ had a shortage of it.","Maria asked Cynthia if she could borrow some fuel for her car, as the shortage of it affected _.",Maria,Cynthia,1,2,['social'],1
"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was smaller.","In the accident the vehicle of Nelson received more damage than that of Justin, since the smaller vehicle belonged to _.",Nelson,Justin,1,1,['physical'],1
"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was bigger.","In the accident the vehicle of Nelson received more damage than that of Justin, since the bigger vehicle belonged to _.",Nelson,Justin,2,1,['physical'],1
"Monica is looking to buy some new furniture and Carrie just bought some, so _ is starting to anticipate their purchase arrival.","Monica is looking to buy some new furniture and Carrie just bought some, so the one starting to anticipate their purchase arrival is _.",Monica,Carrie,2,4,['temporal'],1
Aaron showed Donald how to use google play on an android because _ owned an apple phone.,Aaron showed Donald how to use Google Play on an Android because the Apple phone owner was _.,Aaron,Donald,2,1,['physical'],1
"Derrick really liked working in Human Resources and William wanted to work at the same company, and _ subsequently offered a position.","Derrick really liked working in Human Resources and William wanted to work at the same company, and a position was subsequently offered to _.",Derrick,William,1,2,['social'],1
The woman practiced for her interview and not for the sport since the _ was expedient.,The woman practiced for her interview and not for the sport since she recognized the expedience of the _.,interview,sport,1,"2, 4","['social', 'temporal']",1
"The boot was removed from the car tire and put on the truck tire, since the _ was now illegally parked.",The boot was removed from the car tire and put on the truck tire because the illegally parked vehicle was now the _.,car,truck,2,1,['physical'],1
"I have both glasses and contacts, but the cleaning solution was empty so I wore the _ today.","I have both glasses and contacts, but the cleaning solution was empty so today I wore the _.",glasses,contacts,1,1,['physical'],1
Jane loved travelling internationally. The current country she was in preferred wine over tea because the _ was less available.,Jane loved travelling internationally. The current country she was in preferred wine over tea because of the low availability of the _.,wine,tea,2,3,['numerical'],1
"Adam loved dogs but Jason was afraid of them, so only _ petted the poodle.","Adam loved dogs but Jason was afraid of them, so the only one who petted the poodle was _.",Adam,Jason,1,2,['social'],1
"Elena brought the horse to the stables owned by Cynthia, so _ could buy the animal.","Elena brought the horse to the stables owned by Cynthia, so the animal could be bought by _.",Elena,Cynthia,2,5,['spatial'],1
